"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-15","0.00","0.0",,,"75","52",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-16","0.00","0.0",,,"77","54",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-17","0.00","0.0",,,"79","57",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-18","0.00","0.0",,,"80","58",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-19","0.00","0.0",,,"84","59",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-20","0.00","0.0",,,"86","62",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-21","0.00","0.0",,,"89","66",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-22","0.00","0.0",,,"84","65",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-23","0.00","0.0",,,"77","59",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-24","0.00","0.0",,,"75","56",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-25","0.08","0.0",,,"84","56",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-26","0.69","0.0",,,"77","69",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-27","0.56","0.0",,,"82","66",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-28","0.00","0.0",,,"83","70",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-29","0.00","0.0",,,"83","68",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-30","0.08","0.0",,,"84","68",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-08-31","0.00","0.0",,,"78","69",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-01","0.03","0.0",,,"77","67",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-02","0.00","0.0",,,"78","61",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-03","0.00","0.0",,,"72","55",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-04","0.00","0.0",,,"80","54",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-05","0.00","0.0",,,"63","47",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-06","0.00","0.0",,,"73","45",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-07","0.71","0.0",,,"69","60",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-08","0.00","0.0",,,"67","52",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-09","0.01","0.0",,,"69","50",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-10","0.00","0.0",,,"93","63",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-11","0.13","0.0",,,"90","69",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-12","0.13","0.0",,,"75","59",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-14","0.00","0.0",,,"63","41",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-15","0.07","0.0",,,"67","49",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-16","0.00","0.0",,,"58","42",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-17","0.00","0.0",,,"60","41",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-18","0.00","0.0",,,"69","43",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-19","0.00","0.0",,,"72","49",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-20","0.45","0.0",,,"75","61",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-21","1.02","0.0",,,"68","49",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-22","0.00","0.0",,,"54","47",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-23","0.00","0.0",,,"61","44",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-24","0.00","0.0",,,"65","43",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-25","0.00","0.0",,,"71","46",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-26","0.00","0.0",,,"70","50",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-27","0.00","0.0",,,"67","51",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-28","0.00","0.0",,,"68","50",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-29","0.03","0.0",,,"70","55",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-09-30","0.14","0.0",,,"69","56",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-01","0.00","0.0",,,"76","51",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-02","0.00","0.0",,,"77","53",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-03","0.05","0.0",,,"71","46",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-04",,"0.0",,,"62","59",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-05","0.09","0.0",,,"63","55",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-06","0.06","0.0",,,"66","57",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-07","0.35","0.0",,,"66","45",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-08","0.00","0.0",,,"62","44",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-09","0.00","0.0",,,"64","44",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-10","0.00","0.0",,,"67","45",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-11","0.00","0.0",,,"68","43",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-12","0.00","0.0",,,"69","43",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-14","0.00","0.0",,,"64","44",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-15","0.01","0.0",,,"63","43",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-16","0.54","0.0",,,"70","51",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-17","0.33","0.0",,,"61","49",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-18","0.01","0.0",,,"60","46",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-20","0.00","0.0",,,"56","37",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-21","0.31","0.0",,,"61","44",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-22","0.00","0.0",,,"47","38",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-23","0.00","0.0",,,"49","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-24","0.00","0.0",,,"48","32",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-25","0.03","0.0",,,"51","35",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-26","0.39","0.0",,,"44","36",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-27","0.02","0.0",,,"48","35",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-28","0.00","0.0",,,"45","29",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-29","0.02","0.0",,,"45","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-30","0.00","0.0",,,"51","39",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-10-31",,,,,"64","40",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-01","0.08","0.0",,,"61","44",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-02","0.08","0.0",,,"47","32",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-03","0.00","0.0",,,"39","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-04","0.00","0.0",,,"42","24",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-05","0.00","0.0",,,"54","36",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-06","0.19","0.0",,,"61","46",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-07","0.00","0.0",,,"46","36",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-08","0.00","0.0",,,"42","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-09","0.02","0.0",,,"50","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-10","0.05","0.0",,,"46","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-11","0.02","0.0",,,"43","26",,
